method,seed,step,episode,episode_return,total_cost,n_served,n_customers,terminated,truncated,n_on_time,n_waited,n_late
greedy,125,0,83,-53.718249366768624,13.718249366768623,15,15,1,0,6.0,3.0,6.0
greedy,126,0,84,-57.54278517179466,17.542785171794662,15,15,1,0,6.0,3.0,6.0
greedy,127,0,85,-86.3884593872194,16.38845938721939,15,15,1,0,3.0,3.0,9.0
greedy,128,0,86,-12.89578462411346,12.89578462411346,15,15,1,0,9.0,4.0,2.0
greedy,129,0,87,-115.80302712280464,15.803027122804622,15,15,1,0,2.0,1.0,12.0
greedy,130,0,88,-74.52803576727322,14.52803576727323,15,15,1,0,4.0,3.0,8.0
greedy,131,0,89,-16.036335639039635,16.036335639039635,15,15,1,0,7.0,6.0,2.0
greedy,132,0,90,-25.107487901025753,15.107487901025753,15,15,1,0,9.0,3.0,3.0
greedy,133,0,91,-24.708811436679127,14.708811436679127,15,15,1,0,8.0,4.0,3.0
greedy,134,0,92,-32.455543008026666,12.45554300802667,15,15,1,0,7.0,4.0,4.0
greedy,135,0,93,-61.46966603624924,11.469666036249233,15,15,1,0,6.0,2.0,7.0
greedy,136,0,94,-74.49664057646368,14.496640576463683,15,15,1,0,4.0,3.0,8.0
greedy,137,0,95,-48.04276221314984,18.042762213149846,15,15,1,0,6.0,4.0,5.0
greedy,138,0,96,-40.24495421032344,10.244954210323447,15,15,1,0,6.0,4.0,5.0
greedy,139,0,97,-83.69555549380887,13.695555493808854,15,15,1,0,4.0,2.0,9.0
greedy,140,0,98,-51.839060010453025,11.839060010453029,15,15,1,0,7.0,2.0,6.0
greedy,141,0,99,-62.32025636593761,12.32025636593761,15,15,1,0,5.0,3.0,7.0
